求解函数 f(x1, x2) = 100(x2 - x1^2)^2 + (1 - x1)^2 的极小值
初始点: (0, 0)
收敛条件: 梯度范数 < 1.0E-4

最速下降法:
第1次迭代 f(x_i) = 1.000000000000000, x_1 = 0.000000000000000, x_2 = 0.000000000000000
第2次迭代 f(x_i) = 0.771109685346675, x_1 = 0.161261633448991, x_2 = 0.000000000000000
第3次迭代 f(x_i) = 0.703481939056636, x_1 = 0.161261698148272, x_2 = 0.026004538319249
第4次迭代 f(x_i) = 0.656786608115676, x_1 = 0.211354132600222, x_2 = 0.026009298255897
第5次迭代 f(x_i) = 0.621965166658849, x_1 = 0.211352317790491, x_2 = 0.044670012439654
第6次迭代 f(x_i) = 0.593605092347681, x_1 = 0.245089595744257, x_2 = 0.044669113224558
第7次迭代 f(x_i) = 0.569889047871678, x_1 = 0.245090039898983, x_2 = 0.060069473473765
第8次迭代 f(x_i) = 0.549323428680289, x_1 = 0.271125403431895, x_2 = 0.060068280848729
第9次迭代 f(x_i) = 0.531257428759339, x_1 = 0.271125917078410, x_2 = 0.073509476227812
第10次迭代 f(x_i) = 0.515070040515997, x_1 = 0.292571785348837, x_2 = 0.073508848591477
第11次迭代 f(x_i) = 0.500454329576404, x_1 = 0.292572032241071, x_2 = 0.085598691975088
第12次迭代 f(x_i) = 0.487093098903735, x_1 = 0.310930639171481, x_2 = 0.085597918841835
第13次迭代 f(x_i) = 0.474815887002940, x_1 = 0.310931144948407, x_2 = 0.096678267828938
第14次迭代 f(x_i) = 0.463437041089059, x_1 = 0.327055890917391, x_2 = 0.096678055047403
第15次迭代 f(x_i) = 0.452853416400118, x_1 = 0.327056156580647, x_2 = 0.106965932238905
第16次迭代 f(x_i) = 0.442947513674762, x_1 = 0.341477877527278, x_2 = 0.106965497884698
第17次迭代 f(x_i) = 0.433650851468844, x_1 = 0.341478283221981, x_2 = 0.116607493661508
第18次迭代 f(x_i) = 0.424883715093453, x_1 = 0.354554958488317, x_2 = 0.116607343242640
第19次迭代 f(x_i) = 0.416599017164675, x_1 = 0.354555178840555, x_2 = 0.125709551657667
第20次迭代 f(x_i) = 0.408740589688096, x_1 = 0.366537964845134, x_2 = 0.125709223404160
第21次迭代 f(x_i) = 0.401273875547761, x_1 = 0.366538181462147, x_2 = 0.134350395871549
第22次迭代 f(x_i) = 0.394157739205529, x_1 = 0.377612248879019, x_2 = 0.134350120709220
第23次迭代 f(x_i) = 0.387366318985887, x_1 = 0.377612404539983, x_2 = 0.142591312066054
第24次迭代 f(x_i) = 0.380868586395022, x_1 = 0.387917557160785, x_2 = 0.142591007409805
第25次迭代 f(x_i) = 0.374644619606915, x_1 = 0.387917799959916, x_2 = 0.150480319840182
第26次迭代 f(x_i) = 0.368670185062368, x_1 = 0.397563217917274, x_2 = 0.150480161762982
第27次迭代 f(x_i) = 0.362929821845902, x_1 = 0.397563429193821, x_2 = 0.158056789485536
第28次迭代 f(x_i) = 0.357404306771113, x_1 = 0.406635763893451, x_2 = 0.158056624959141
第29次迭代 f(x_i) = 0.352081119755628, x_1 = 0.406635761314370, x_2 = 0.165352426734584
第30次迭代 f(x_i) = 0.346944807648783, x_1 = 0.415205066461486, x_2 = 0.165352738176267
第31次迭代 f(x_i) = 0.341985373386070, x_1 = 0.415204844936279, x_2 = 0.172395037038435
第32次迭代 f(x_i) = 0.337190278943514, x_1 = 0.423327399871467, x_2 = 0.172395073457204
第33次迭代 f(x_i) = 0.332551116709202, x_1 = 0.423327548163022, x_2 = 0.179206336720434
第34次迭代 f(x_i) = 0.328057372178168, x_1 = 0.431051477628621, x_2 = 0.179206171057910
第35次迭代 f(x_i) = 0.323702090167176, x_1 = 0.431051768464680, x_2 = 0.185805617853503
第36次迭代 f(x_i) = 0.319476377465901, x_1 = 0.438417690097858, x_2 = 0.185805629820057
第37次迭代 f(x_i) = 0.315374485821594, x_1 = 0.438417872594719, x_2 = 0.192210305351335
第38次迭代 f(x_i) = 0.311388926475964, x_1 = 0.445459682183666, x_2 = 0.192210212134680
第39次迭代 f(x_i) = 0.307514722932518, x_1 = 0.445459899617348, x_2 = 0.198434556213058
第40次迭代 f(x_i) = 0.303745479108006, x_1 = 0.452207228278613, x_2 = 0.198434514788096
第41次迭代 f(x_i) = 0.300076905751791, x_1 = 0.452207241972466, x_2 = 0.204491598948918
第42次迭代 f(x_i) = 0.296503610964478, x_1 = 0.458684952468952, x_2 = 0.204491351509234
第43次迭代 f(x_i) = 0.293021787906161, x_1 = 0.458685130533176, x_2 = 0.210392101542341
第44次迭代 f(x_i) = 0.289626712326397, x_1 = 0.464915597851721, x_2 = 0.210392041035339
第45次迭代 f(x_i) = 0.286315150088381, x_1 = 0.464915754214389, x_2 = 0.216146723701806
第46次迭代 f(x_i) = 0.283082957591856, x_1 = 0.470918410119653, x_2 = 0.216146650577036
第47次迭代 f(x_i) = 0.279927276841500, x_1 = 0.470918459177642, x_2 = 0.221764354553266
第48次迭代 f(x_i) = 0.276844506299864, x_1 = 0.476710070712788, x_2 = 0.221764180115246
第49次迭代 f(x_i) = 0.273832106589295, x_1 = 0.476710303379427, x_2 = 0.227252692355237
第50次迭代 f(x_i) = 0.270886862614219, x_1 = 0.482306544177412, x_2 = 0.227252714805822
第51次迭代 f(x_i) = 0.268006551071807, x_1 = 0.482306508568802, x_2 = 0.232619442386798
第52次迭代 f(x_i) = 0.265188334166557, x_1 = 0.487720816860910, x_2 = 0.232619573980073
第53次迭代 f(x_i) = 0.262430215891441, x_1 = 0.487720568567813, x_2 = 0.237870873875691
第54次迭代 f(x_i) = 0.259729666555839, x_1 = 0.492964876565257, x_2 = 0.237871364413883
第55次迭代 f(x_i) = 0.257084910988707, x_1 = 0.492964586077983, x_2 = 0.243013663175721
第56次迭代 f(x_i) = 0.254493678345954, x_1 = 0.498049653888589, x_2 = 0.243014084380090
第57次迭代 f(x_i) = 0.251954363638261, x_1 = 0.498049441064950, x_2 = 0.248052765620272
第58次迭代 f(x_i) = 0.249464934650392, x_1 = 0.502985215889645, x_2 = 0.248053237781097
第59次迭代 f(x_i) = 0.247023935197184, x_1 = 0.502984974896975, x_2 = 0.252993448811247
第60次迭代 f(x_i) = 0.244629538483941, x_1 = 0.507780583324879, x_2 = 0.252993869692161
第61次迭代 f(x_i) = 0.242280432348378, x_1 = 0.507780097618677, x_2 = 0.257839933999677
